source_video,frame_number,timestamp_seconds,class_id,class_name,confidence,x1,y1,x2,y2,box_center_x,box_center_y,box_width,box_height
T_20260715_015858_798765.mp4,32,1.066667,1,power_adapter,0.324878,150.926,283.62,459.871,527.619,305.399,405.62,308.945,243.999
T_20260715_015858_798765.mp4,33,1.1,1,power_adapter,0.313046,151.854,283.689,459.048,527.576,305.451,405.633,307.194,243.887
T_20260715_015858_798765.mp4,34,1.133333,1,power_adapter,0.311704,151.456,282.567,460.502,528.484,305.979,405.525,309.045,245.917
T_20260715_015858_798765.mp4,35,1.166667,1,power_adapter,0.295326,153.877,284.146,459.13,527.894,306.503,406.02,305.253,243.747
T_20260715_015858_798765.mp4,36,1.2,1,power_adapter,0.315988,148.623,282.512,462.583,529.258,305.603,405.885,313.96,246.746
T_20260715_015858_798765.mp4,37,1.233333,1,power_adapter,0.321248,150.108,282.531,461.858,528.081,305.983,405.306,311.75,245.55
T_20260715_015858_798765.mp4,38,1.266667,1,power_adapter,0.315141,149.732,283.08,461.852,529.058,305.792,406.069,312.121,245.978
T_20260715_015858_798765.mp4,39,1.3,1,power_adapter,0.330777,149.742,282.939,460.64,527.91,305.191,405.424,310.898,244.971
T_20260715_015858_798765.mp4,40,1.333333,1,power_adapter,0.322976,145.218,276.297,467.415,529.584,306.317,402.94,322.197,253.287
T_20260715_015858_798765.mp4,41,1.366667,1,power_adapter,0.313282,150.156,270.484,468.781,529.333,309.469,399.908,318.625,258.848
T_20260715_015858_798765.mp4,42,1.4,1,power_adapter,0.27048,148.26,264.977,471.525,530.944,309.892,397.961,323.265,265.967
T_20260715_015858_798765.mp4,45,1.5,1,power_adapter,0.265648,146.638,266.156,471.727,531.246,309.183,398.701,325.089,265.089
T_20260715_015858_798765.mp4,46,1.533333,1,power_adapter,0.256918,147.485,270.441,472.905,532.777,310.195,401.609,325.42,262.336
T_20260715_015858_798765.mp4,47,1.566667,1,power_adapter,0.262445,152.525,277.739,472.306,532.349,312.416,405.044,319.781,254.609
