source_video,frame_number,timestamp_seconds,marker_raw_present,marker_raw_confidence,power_adapter_raw_present,power_adapter_raw_confidence,marker_stable_present,power_adapter_stable_present,marker_window_positive_count,power_adapter_window_positive_count,temporal_window_frames,minimum_positive_frames
T_20260715_015858_798765.mp4,20,0.666667,False,0.0,True,0.332793,False,True,0,5,5,3
T_20260715_015858_798765.mp4,21,0.7,False,0.0,True,0.335467,False,True,0,5,5,3
T_20260715_015858_798765.mp4,22,0.733333,False,0.0,True,0.348768,False,True,0,5,5,3
T_20260715_015858_798765.mp4,23,0.766667,False,0.0,True,0.337869,False,True,0,5,5,3
T_20260715_015858_798765.mp4,24,0.8,False,0.0,True,0.301677,False,True,0,5,5,3
T_20260715_015858_798765.mp4,25,0.833333,False,0.0,True,0.332906,False,True,0,5,5,3
T_20260715_015858_798765.mp4,26,0.866667,False,0.0,True,0.339128,False,True,0,5,5,3
T_20260715_015858_798765.mp4,27,0.9,False,0.0,True,0.321664,False,True,0,5,5,3
T_20260715_015858_798765.mp4,28,0.933333,False,0.0,True,0.314299,False,True,0,5,5,3
T_20260715_015858_798765.mp4,29,0.966667,False,0.0,True,0.308881,False,True,0,5,5,3
T_20260715_015858_798765.mp4,30,1.0,False,0.0,True,0.317617,False,True,0,5,5,3
T_20260715_015858_798765.mp4,31,1.033333,False,0.0,True,0.31947,False,True,0,5,5,3
T_20260715_015858_798765.mp4,32,1.066667,False,0.0,True,0.324878,False,True,0,5,5,3
T_20260715_015858_798765.mp4,33,1.1,False,0.0,True,0.313046,False,True,0,5,5,3
T_20260715_015858_798765.mp4,34,1.133333,False,0.0,True,0.311704,False,True,0,5,5,3
T_20260715_015858_798765.mp4,35,1.166667,False,0.0,True,0.295326,False,True,0,5,5,3
T_20260715_015858_798765.mp4,36,1.2,False,0.0,True,0.315988,False,True,0,5,5,3
T_20260715_015858_798765.mp4,37,1.233333,False,0.0,True,0.321248,False,True,0,5,5,3
T_20260715_015858_798765.mp4,38,1.266667,False,0.0,True,0.315141,False,True,0,5,5,3
T_20260715_015858_798765.mp4,39,1.3,False,0.0,True,0.330777,False,True,0,5,5,3
T_20260715_015858_798765.mp4,40,1.333333,False,0.0,True,0.322976,False,True,0,5,5,3
T_20260715_015858_798765.mp4,41,1.366667,False,0.0,True,0.313282,False,True,0,5,5,3
T_20260715_015858_798765.mp4,42,1.4,False,0.0,True,0.27048,False,True,0,5,5,3
T_20260715_015858_798765.mp4,43,1.433333,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,44,1.466667,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,45,1.5,False,0.0,True,0.265648,False,True,0,3,5,3
T_20260715_015858_798765.mp4,46,1.533333,False,0.0,True,0.256918,False,True,0,3,5,3
T_20260715_015858_798765.mp4,47,1.566667,False,0.0,True,0.262445,False,True,0,3,5,3
T_20260715_015858_798765.mp4,48,1.6,False,0.0,True,0.258251,False,True,0,4,5,3
T_20260715_015858_798765.mp4,49,1.633333,False,0.0,True,0.291484,False,True,0,5,5,3
T_20260715_015858_798765.mp4,50,1.666667,False,0.0,True,0.259452,False,True,0,5,5,3
T_20260715_015858_798765.mp4,51,1.7,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,52,1.733333,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,53,1.766667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,54,1.8,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,55,1.833333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,56,1.866667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,57,1.9,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,58,1.933333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,59,1.966667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,60,2.0,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,61,2.033333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,62,2.066667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,63,2.1,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,64,2.133333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,65,2.166667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,66,2.2,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,67,2.233333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,68,2.266667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,69,2.3,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,70,2.333333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,71,2.366667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,72,2.4,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,73,2.433333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,74,2.466667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,75,2.5,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,76,2.533333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,77,2.566667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,78,2.6,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,79,2.633333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,80,2.666667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,81,2.7,False,0.0,True,0.338697,False,False,0,1,5,3
T_20260715_015858_798765.mp4,82,2.733333,False,0.0,True,0.316424,False,False,0,2,5,3
T_20260715_015858_798765.mp4,83,2.766667,False,0.0,True,0.384967,False,True,0,3,5,3
T_20260715_015858_798765.mp4,84,2.8,False,0.0,True,0.389196,False,True,0,4,5,3
T_20260715_015858_798765.mp4,85,2.833333,False,0.0,True,0.362376,False,True,0,5,5,3
T_20260715_015858_798765.mp4,86,2.866667,False,0.0,True,0.312727,False,True,0,5,5,3
T_20260715_015858_798765.mp4,87,2.9,False,0.0,True,0.254436,False,True,0,5,5,3
T_20260715_015858_798765.mp4,88,2.933333,False,0.0,True,0.262099,False,True,0,5,5,3
T_20260715_015858_798765.mp4,89,2.966667,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,90,3.0,False,0.0,True,0.264747,False,True,0,4,5,3
T_20260715_015858_798765.mp4,91,3.033333,False,0.0,True,0.344419,False,True,0,4,5,3
T_20260715_015858_798765.mp4,92,3.066667,False,0.0,True,0.304877,False,True,0,4,5,3
T_20260715_015858_798765.mp4,93,3.1,False,0.0,True,0.46241,False,True,0,4,5,3
T_20260715_015858_798765.mp4,94,3.133333,False,0.0,True,0.552236,False,True,0,5,5,3
T_20260715_015858_798765.mp4,95,3.166667,False,0.0,True,0.444909,False,True,0,5,5,3
T_20260715_015858_798765.mp4,96,3.2,False,0.0,True,0.356868,False,True,0,5,5,3
T_20260715_015858_798765.mp4,97,3.233333,False,0.0,True,0.336213,False,True,0,5,5,3
T_20260715_015858_798765.mp4,98,3.266667,False,0.0,True,0.404835,False,True,0,5,5,3
T_20260715_015858_798765.mp4,99,3.3,False,0.0,True,0.32361,False,True,0,5,5,3
T_20260715_015858_798765.mp4,100,3.333333,False,0.0,True,0.363348,False,True,0,5,5,3
T_20260715_015858_798765.mp4,101,3.366667,False,0.0,True,0.340023,False,True,0,5,5,3
T_20260715_015858_798765.mp4,102,3.4,False,0.0,True,0.393998,False,True,0,5,5,3
T_20260715_015858_798765.mp4,103,3.433333,False,0.0,True,0.256461,False,True,0,5,5,3
T_20260715_015858_798765.mp4,104,3.466667,False,0.0,False,0.0,False,True,0,4,5,3
T_20260715_015858_798765.mp4,105,3.5,False,0.0,True,0.282002,False,True,0,4,5,3
T_20260715_015858_798765.mp4,106,3.533333,False,0.0,True,0.303605,False,True,0,4,5,3
T_20260715_015858_798765.mp4,107,3.566667,False,0.0,True,0.310937,False,True,0,4,5,3
T_20260715_015858_798765.mp4,108,3.6,False,0.0,True,0.328982,False,True,0,4,5,3
T_20260715_015858_798765.mp4,109,3.633333,False,0.0,True,0.376212,False,True,0,5,5,3
T_20260715_015858_798765.mp4,110,3.666667,False,0.0,True,0.366168,False,True,0,5,5,3
T_20260715_015858_798765.mp4,111,3.7,False,0.0,True,0.395516,False,True,0,5,5,3
T_20260715_015858_798765.mp4,112,3.733333,False,0.0,True,0.416473,False,True,0,5,5,3
T_20260715_015858_798765.mp4,113,3.766667,False,0.0,True,0.469952,False,True,0,5,5,3
T_20260715_015858_798765.mp4,114,3.8,False,0.0,True,0.497675,False,True,0,5,5,3
T_20260715_015858_798765.mp4,115,3.833333,False,0.0,True,0.500891,False,True,0,5,5,3
T_20260715_015858_798765.mp4,116,3.866667,False,0.0,True,0.551246,False,True,0,5,5,3
T_20260715_015858_798765.mp4,117,3.9,False,0.0,True,0.578513,False,True,0,5,5,3
T_20260715_015858_798765.mp4,118,3.933333,False,0.0,True,0.453048,False,True,0,5,5,3
T_20260715_015858_798765.mp4,119,3.966667,False,0.0,True,0.43948,False,True,0,5,5,3
T_20260715_015858_798765.mp4,120,4.0,False,0.0,True,0.466232,False,True,0,5,5,3
T_20260715_015858_798765.mp4,121,4.033333,False,0.0,True,0.448225,False,True,0,5,5,3
T_20260715_015858_798765.mp4,122,4.066667,False,0.0,True,0.424498,False,True,0,5,5,3
T_20260715_015858_798765.mp4,123,4.1,False,0.0,True,0.459677,False,True,0,5,5,3
T_20260715_015858_798765.mp4,124,4.133333,False,0.0,True,0.49411,False,True,0,5,5,3
T_20260715_015858_798765.mp4,125,4.166667,False,0.0,True,0.533939,False,True,0,5,5,3
T_20260715_015858_798765.mp4,126,4.2,False,0.0,True,0.605953,False,True,0,5,5,3
T_20260715_015858_798765.mp4,127,4.233333,False,0.0,True,0.591107,False,True,0,5,5,3
T_20260715_015858_798765.mp4,128,4.266667,False,0.0,True,0.58614,False,True,0,5,5,3
T_20260715_015858_798765.mp4,129,4.3,False,0.0,True,0.609391,False,True,0,5,5,3
T_20260715_015858_798765.mp4,130,4.333333,False,0.0,True,0.606721,False,True,0,5,5,3
T_20260715_015858_798765.mp4,131,4.366667,False,0.0,True,0.627463,False,True,0,5,5,3
T_20260715_015858_798765.mp4,132,4.4,False,0.0,True,0.578478,False,True,0,5,5,3
T_20260715_015858_798765.mp4,133,4.433333,False,0.0,True,0.533969,False,True,0,5,5,3
T_20260715_015858_798765.mp4,134,4.466667,False,0.0,True,0.542394,False,True,0,5,5,3
T_20260715_015858_798765.mp4,135,4.5,False,0.0,True,0.545273,False,True,0,5,5,3
T_20260715_015858_798765.mp4,136,4.533333,False,0.0,True,0.499237,False,True,0,5,5,3
T_20260715_015858_798765.mp4,137,4.566667,False,0.0,True,0.489512,False,True,0,5,5,3
T_20260715_015858_798765.mp4,138,4.6,False,0.0,True,0.503177,False,True,0,5,5,3
T_20260715_015858_798765.mp4,139,4.633333,False,0.0,True,0.538826,False,True,0,5,5,3
T_20260715_015858_798765.mp4,140,4.666667,False,0.0,True,0.523843,False,True,0,5,5,3
T_20260715_015858_798765.mp4,141,4.7,False,0.0,True,0.502661,False,True,0,5,5,3
T_20260715_015858_798765.mp4,142,4.733333,False,0.0,True,0.398734,False,True,0,5,5,3
T_20260715_015858_798765.mp4,143,4.766667,False,0.0,True,0.338538,False,True,0,5,5,3
T_20260715_015858_798765.mp4,144,4.8,False,0.0,False,0.0,False,True,0,4,5,3
